epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.66822,2.53879,3.7118,1.71725,0.46661,0.43778,0.38169,0.1323,2.40877,1.87779,1.62848,1.5e-06,1.5e-06,0.0970015
2,5.75917,2.45295,3.23166,1.773,0.26769,0.26923,0.1655,0.06775,2.53742,3.11387,1.80004,3.44225e-06,3.44225e-06,0.0930034
3,6.9404,2.17059,1.86844,1.571,0.59053,0.19231,0.201,0.0844,2.52778,4.10908,1.90808,5.3185e-06,5.3185e-06,0.0890053
4,8.59683,1.93073,1.44359,1.33793,0.8466,0.38462,0.43328,0.14575,2.51352,2.86435,1.92594,7.12875e-06,7.12875e-06,0.0850071
5,10.1268,1.61808,1.30182,1.20614,0.73762,0.42308,0.46108,0.18025,2.20161,1.70192,1.62678,8.873e-06,8.873e-06,0.0810089
6,11.782,1.62793,1.17768,1.18882,0.7013,0.57692,0.59342,0.28178,1.96409,1.41941,1.41499,1.05513e-05,1.05513e-05,0.0770106
7,13.4913,1.60868,1.06739,1.19715,0.83795,0.59717,0.63117,0.31403,1.95849,1.43953,1.33411,1.21635e-05,1.21635e-05,0.0730122
8,15.1524,1.65086,1.17768,1.17769,0.76286,0.46154,0.56106,0.30903,2.03276,1.57745,1.30337,1.37097e-05,1.37097e-05,0.0690137
9,16.5199,1.55058,0.94276,1.1494,0.82181,0.53247,0.58644,0.32296,1.99122,1.64968,1.2735,1.519e-05,1.519e-05,0.0650152
10,18.1737,1.61211,1.01717,1.18158,0.75466,0.57692,0.63735,0.32528,2.01158,1.45625,1.29609,1.66043e-05,1.66043e-05,0.0610166
11,19.8045,1.60115,1.05034,1.13744,0.92418,0.57692,0.68397,0.32463,1.97052,1.2441,1.26833,1.79525e-05,1.79525e-05,0.057018
12,21.191,1.56174,0.94217,1.1284,0.81966,0.53846,0.6592,0.30845,1.98621,1.14785,1.28913,1.92348e-05,1.92348e-05,0.0530192
13,22.5751,1.49043,0.95503,1.10042,0.87461,0.53667,0.66356,0.3068,2.04264,1.12128,1.31391,2.0451e-05,2.0451e-05,0.0490205
14,23.8897,1.56787,0.91778,1.11018,0.86825,0.50733,0.68069,0.29443,2.05715,1.09043,1.31239,2.16012e-05,2.16012e-05,0.0450216
15,25.1863,1.52137,0.98065,1.12566,0.90883,0.53846,0.70418,0.29753,2.02634,1.06847,1.30494,2.26855e-05,2.26855e-05,0.0410227
16,26.4866,1.54009,0.97661,1.13433,0.86391,0.53846,0.72176,0.30512,1.99866,1.05967,1.28189,2.37037e-05,2.37037e-05,0.0370237
17,27.8439,1.47765,0.86696,1.10517,0.75388,0.58947,0.70362,0.31458,1.98496,1.01506,1.25947,2.4656e-05,2.4656e-05,0.0330247
18,29.1922,1.50012,0.88693,1.10094,0.82625,0.54912,0.71884,0.33508,1.96206,1.00895,1.23694,2.55423e-05,2.55423e-05,0.0290255
19,30.8472,1.51693,0.83808,1.12196,0.76451,0.65385,0.75043,0.35781,1.93484,0.98291,1.22086,2.63625e-05,2.63625e-05,0.0250264
20,32.4513,1.36587,0.82497,1.05678,0.7511,0.73077,0.78531,0.38658,1.90052,0.95559,1.2076,2.71168e-05,2.71168e-05,0.0210271
21,34.1058,1.52714,0.88565,1.10552,0.78103,0.73077,0.78663,0.39034,1.86417,0.94407,1.19951,2.7805e-05,2.7805e-05,0.0170278
22,35.7462,1.3989,0.78907,1.10193,0.8082,0.73077,0.77849,0.40993,1.82523,0.90758,1.18665,2.84273e-05,2.84273e-05,0.0130284
23,37.3851,1.46166,0.92747,1.07746,0.8468,0.76923,0.80865,0.39664,1.78405,0.89911,1.17439,2.89835e-05,2.89835e-05,0.00902898
24,38.6988,1.40342,0.78858,1.04763,0.83465,0.77681,0.80866,0.40775,1.73813,0.88456,1.1592,2.94738e-05,2.94738e-05,0.00502947
25,40.0336,1.39508,0.84233,1.06265,0.83513,0.77962,0.83019,0.41534,1.71981,0.86987,1.15509,2.9898e-05,2.9898e-05,0.0010299
26,41.6652,1.42949,0.83275,1.07485,0.84256,0.76923,0.83745,0.41123,1.70413,0.87551,1.15285,2.9375e-05,2.9375e-05,2.9375e-05
27,42.9779,1.48275,0.8685,1.12711,0.87388,0.79977,0.84019,0.4179,1.67655,0.86389,1.14631,2.855e-05,2.855e-05,2.855e-05
28,44.617,1.44576,0.81281,1.05009,0.87446,0.80387,0.83881,0.42498,1.65618,0.86206,1.14256,2.7725e-05,2.7725e-05,2.7725e-05
29,46.2549,1.47569,0.89665,1.11579,0.86718,0.80769,0.83243,0.43328,1.65094,0.85296,1.14552,2.69e-05,2.69e-05,2.69e-05
30,48.0987,1.32999,0.75858,1.05219,0.86536,0.80769,0.83656,0.42512,1.62614,0.8462,1.14303,2.6075e-05,2.6075e-05,2.6075e-05
31,49.469,1.40902,0.83548,1.07392,0.86795,0.80769,0.83943,0.4257,1.62438,0.84131,1.14355,2.525e-05,2.525e-05,2.525e-05
32,50.8997,1.42016,0.81491,1.09353,0.8727,0.80769,0.83944,0.43943,1.62732,0.83851,1.14875,2.4425e-05,2.4425e-05,2.4425e-05
33,52.5277,1.40825,0.79518,1.10229,0.8804,0.80769,0.84145,0.44061,1.62908,0.83139,1.14748,2.36e-05,2.36e-05,2.36e-05
34,54.1732,1.47096,0.96715,1.09112,0.88586,0.80769,0.84251,0.43797,1.63526,0.83155,1.1528,2.2775e-05,2.2775e-05,2.2775e-05
35,55.5208,1.3676,0.8068,1.05684,0.89184,0.80769,0.8441,0.43916,1.62795,0.83117,1.15301,2.195e-05,2.195e-05,2.195e-05
36,56.8724,1.31027,0.74365,1.03779,0.89425,0.80769,0.84448,0.43654,1.62897,0.82966,1.15645,2.1125e-05,2.1125e-05,2.1125e-05
37,58.2192,1.39582,0.83849,1.05393,0.89636,0.80769,0.84571,0.43658,1.63001,0.83072,1.16073,2.03e-05,2.03e-05,2.03e-05
38,59.5672,1.42266,0.89022,1.04804,0.89694,0.80769,0.84654,0.43669,1.62362,0.83076,1.15654,1.9475e-05,1.9475e-05,1.9475e-05
39,60.9078,1.33307,0.82981,1.03823,0.89495,0.80769,0.84593,0.43648,1.63881,0.83241,1.16699,1.865e-05,1.865e-05,1.865e-05
40,62.2667,1.38713,0.84449,1.05973,0.89412,0.80769,0.84586,0.43402,1.63744,0.82285,1.16479,1.7825e-05,1.7825e-05,1.7825e-05
41,63.6346,1.22286,0.71714,1.01727,0.89299,0.80769,0.84566,0.43381,1.63414,0.82375,1.16525,1.7e-05,1.7e-05,1.7e-05
42,65.0762,1.3308,0.78469,1.039,0.89199,0.80769,0.84533,0.4341,1.62935,0.81752,1.16308,1.6175e-05,1.6175e-05,1.6175e-05
43,66.3969,1.31872,0.79517,1.0624,0.89183,0.80769,0.84618,0.43238,1.62545,0.81489,1.16371,1.535e-05,1.535e-05,1.535e-05
44,67.7286,1.48589,0.83798,1.08522,0.89164,0.80769,0.84504,0.4313,1.62615,0.81811,1.16204,1.4525e-05,1.4525e-05,1.4525e-05
45,69.078,1.35152,0.76046,1.06282,0.89298,0.80769,0.84673,0.43037,1.628,0.8177,1.16223,1.37e-05,1.37e-05,1.37e-05
46,70.4487,1.29368,0.78388,1.04266,0.8939,0.80769,0.83341,0.43088,1.61992,0.81467,1.15826,1.2875e-05,1.2875e-05,1.2875e-05
47,71.717,1.40886,0.80766,1.06877,0.89525,0.80769,0.84893,0.4433,1.62051,0.81723,1.15966,1.205e-05,1.205e-05,1.205e-05
48,73.3171,1.33385,0.76778,1.02353,0.89709,0.80769,0.86118,0.44463,1.62414,0.81545,1.15836,1.1225e-05,1.1225e-05,1.1225e-05
49,74.9672,1.38619,0.75956,1.06941,0.89741,0.80769,0.85402,0.44385,1.62095,0.80631,1.15757,1.04e-05,1.04e-05,1.04e-05
50,76.3016,1.44566,0.83547,1.09554,0.89789,0.80769,0.86198,0.44669,1.61991,0.80835,1.16037,9.575e-06,9.575e-06,9.575e-06
51,80.3624,1.29078,0.71594,1.01224,0.89631,0.80769,0.85016,0.43539,1.62203,0.8074,1.16036,8.75e-06,8.75e-06,8.75e-06
52,81.6331,1.28597,0.69173,1.02052,0.89981,0.80769,0.85305,0.4389,1.63972,0.80261,1.167,7.925e-06,7.925e-06,7.925e-06
53,82.8833,1.28255,0.7194,1.01282,0.9004,0.80769,0.8568,0.45258,1.65655,0.80635,1.17417,7.1e-06,7.1e-06,7.1e-06
54,84.4544,1.27501,0.73367,1.02786,0.90163,0.80769,0.85734,0.44787,1.66992,0.79928,1.18273,6.275e-06,6.275e-06,6.275e-06
55,85.6863,1.26039,0.67008,0.99813,0.90244,0.80769,0.88578,0.45026,1.67924,0.79956,1.18188,5.45e-06,5.45e-06,5.45e-06
56,86.8849,1.30262,0.72616,1.06233,0.90329,0.80769,0.88775,0.45678,1.69046,0.80531,1.19137,4.625e-06,4.625e-06,4.625e-06
57,88.4175,1.26718,0.65401,1.00757,0.90401,0.80769,0.88859,0.46102,1.70024,0.80462,1.19554,3.8e-06,3.8e-06,3.8e-06
58,90.0247,1.30011,0.70215,1.03164,0.91593,0.83836,0.88758,0.45153,1.70403,0.80636,1.20034,2.975e-06,2.975e-06,2.975e-06
59,91.3703,1.24546,0.70805,1.06066,0.91606,0.83971,0.88581,0.44703,1.70736,0.80825,1.20268,2.15e-06,2.15e-06,2.15e-06
60,92.6786,1.37305,0.72664,1.04254,0.9161,0.84015,0.88554,0.45028,1.71316,0.81417,1.20668,1.325e-06,1.325e-06,1.325e-06
