epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0362,2.04219,1.62862,1.52789,0.76988,0.66328,0.70397,0.33487,1.85828,1.20515,1.36172,0.000659933,0.000659933,0.000659933
2,46.6921,1.79847,1.30936,1.36642,0.82644,0.70588,0.78176,0.37344,1.83111,1.16172,1.33065,0.00132003,0.00132003,0.00132003
3,64.6819,1.73347,1.20022,1.31023,0.76398,0.65142,0.7304,0.35041,1.86994,1.20374,1.35473,0.00197353,0.00197353,0.00197353
4,83.1306,1.71956,1.19158,1.3116,0.80835,0.70153,0.79692,0.38359,1.82234,1.10137,1.37763,0.0019703,0.0019703,0.0019703
5,103.89,1.63082,1.1083,1.27984,0.78414,0.75381,0.79719,0.3663,1.86423,1.14594,1.3761,0.0019604,0.0019604,0.0019604
6,122.373,1.60414,1.00961,1.25257,0.86097,0.71895,0.79613,0.38904,1.77266,1.14003,1.33335,0.0019505,0.0019505,0.0019505
7,143.038,1.56195,0.97704,1.22011,0.84539,0.78649,0.8362,0.42073,1.72418,1.01581,1.29767,0.0019406,0.0019406,0.0019406
8,162.501,1.54343,0.9272,1.22411,0.82031,0.77996,0.84435,0.41744,1.7278,1.04227,1.3107,0.0019307,0.0019307,0.0019307
9,183.943,1.5416,0.87613,1.20265,0.82628,0.77996,0.84048,0.43328,1.69029,0.98145,1.28503,0.0019208,0.0019208,0.0019208
10,205.242,1.49121,0.8194,1.17969,0.82228,0.78626,0.84721,0.43795,1.71838,0.97888,1.27505,0.0019109,0.0019109,0.0019109
11,222.908,1.449,0.80347,1.16979,0.89116,0.76253,0.85471,0.43288,1.68079,0.96771,1.28296,0.001901,0.001901,0.001901
12,241.938,1.46157,0.81715,1.17018,0.86041,0.75199,0.82394,0.42972,1.69732,1.0792,1.31861,0.0018911,0.0018911,0.0018911
13,258.648,1.44079,0.81757,1.16201,0.89954,0.82135,0.88432,0.45827,1.66211,0.91332,1.28283,0.0018812,0.0018812,0.0018812
14,278.551,1.37599,0.74638,1.13357,0.86142,0.79739,0.85973,0.42973,1.70809,0.97144,1.33816,0.0018713,0.0018713,0.0018713
15,300.072,1.35656,0.72342,1.11812,0.88944,0.76688,0.85709,0.4544,1.67407,0.95175,1.26992,0.0018614,0.0018614,0.0018614
16,317.432,1.33835,0.70831,1.10965,0.89343,0.82196,0.87856,0.45145,1.70153,0.93613,1.29869,0.0018515,0.0018515,0.0018515
17,334.695,1.325,0.7191,1.10393,0.8845,0.80085,0.86701,0.45228,1.69011,0.95543,1.28459,0.0018416,0.0018416,0.0018416
18,350.907,1.30724,0.67476,1.10121,0.88583,0.84532,0.88438,0.45391,1.69256,0.91663,1.28242,0.0018317,0.0018317,0.0018317
19,371.049,1.3075,0.677,1.09286,0.95013,0.74716,0.86625,0.4483,1.68783,1.02753,1.2826,0.0018218,0.0018218,0.0018218
20,390.98,1.29043,0.67212,1.09371,0.91607,0.80844,0.87725,0.45102,1.67591,0.92162,1.27928,0.0018119,0.0018119,0.0018119
21,411.398,1.27996,0.66005,1.07657,0.92103,0.78431,0.88505,0.44984,1.68546,0.90365,1.29736,0.001802,0.001802,0.001802
22,428.77,1.2412,0.63096,1.06705,0.91416,0.83526,0.88814,0.47039,1.64837,0.84831,1.28201,0.0017921,0.0017921,0.0017921
23,445.92,1.25729,0.6295,1.07189,0.86769,0.81439,0.86899,0.45903,1.675,0.93484,1.26347,0.0017822,0.0017822,0.0017822
24,462.575,1.25755,0.63193,1.06904,0.89708,0.83878,0.89472,0.4724,1.6475,0.88588,1.28066,0.0017723,0.0017723,0.0017723
25,478.989,1.21412,0.61131,1.04888,0.87964,0.85839,0.89075,0.47162,1.63728,0.85531,1.27344,0.0017624,0.0017624,0.0017624
26,493.783,1.20075,0.5923,1.04137,0.90053,0.82845,0.88911,0.46339,1.654,0.87842,1.256,0.0017525,0.0017525,0.0017525
