epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4063,0.65368,3.0305,0.31126,1.86608,1.0932,0.8132,0.75111,0.76115,0.48156,0.60563,0.50697,0.44603,0.14203,0.98328,4.22909,0.30951,1.66772,1.39608,0.000545918,0.000545918,0.000545918
2,23.0309,0.90678,4.0546,0.33729,1.07829,1.22993,0.4818,0.51167,0.49776,0.26673,0.40005,0.31398,0.25788,0.08659,1.5178,5.6299,0.27861,2.10927,2.0798,0.00107977,0.00107977,0.00107977
3,27.1742,0.99383,4.71822,0.3625,1.12096,1.28965,0.40636,0.39451,0.40499,0.26319,0.31471,0.29293,0.24308,0.06739,1.33328,5.2914,0.296,2.96197,1.77715,0.00159162,0.00159162,0.00159162
4,31.1648,0.99632,4.94774,0.3583,1.08526,1.28903,0.79465,0.61507,0.68141,0.41749,0.4246,0.3853,0.31893,0.10496,1.24817,4.8267,0.3851,1.51103,1.88904,0.00156798,0.00156798,0.00156798
5,35.1075,0.9394,4.54473,0.34765,0.96713,1.23699,0.67909,0.66353,0.63674,0.41448,0.50182,0.46659,0.39223,0.17966,1.27048,4.02545,0.20094,1.50861,1.65038,0.00153497,0.00153497,0.00153497
6,39.2503,0.94487,4.51726,0.34718,0.93176,1.23978,0.63286,0.50836,0.57862,0.36109,0.49392,0.39516,0.37526,0.14899,1.3656,5.01499,0.27834,1.79821,1.68032,0.00150197,0.00150197,0.00150197
7,43.1464,0.91007,4.03957,0.32951,0.89564,1.24589,0.75464,0.62499,0.67992,0.42108,0.62413,0.51463,0.475,0.20698,1.2543,4.01336,0.27991,1.1023,1.60815,0.00146896,0.00146896,0.00146896
8,47.2197,0.86347,3.92828,0.31489,0.84358,1.19065,0.58557,0.67154,0.70436,0.45901,0.63593,0.47746,0.49423,0.23788,1.15204,3.91837,0.30691,1.31883,1.55948,0.00143595,0.00143595,0.00143595
9,51.3697,0.8343,3.90976,0.30536,0.81389,1.18021,0.80005,0.76193,0.80345,0.55188,0.69137,0.65761,0.57871,0.29114,0.97461,3.434,0.18196,0.90119,1.33221,0.00140295,0.00140295,0.00140295
10,55.5117,0.8057,3.69732,0.30668,0.78473,1.16174,0.67884,0.7426,0.68318,0.47124,0.62519,0.61094,0.53194,0.24032,0.98476,3.48393,0.21395,1.14744,1.36957,0.00136994,0.00136994,0.00136994
