epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8272,1.42101,1.53586,1.5592,0.50212,0.43044,0.36795,0.19681,1.72926,6.6757,1.95592,3.31522e-05,3.31522e-05,0.066881
2,81.0524,1.32019,1.3459,1.46886,0.64859,0.57304,0.56695,0.32745,1.48541,6.95382,1.67897,6.53885e-05,6.53885e-05,0.0335799
3,118.574,1.26037,1.26812,1.42764,0.69007,0.55847,0.59816,0.36244,1.46712,8.21177,1.7024,9.65248e-05,9.65248e-05,0.000277684
4,155.9,1.23526,1.1885,1.4058,0.74063,0.60081,0.649,0.40017,1.41508,5.58706,1.63348,9.505e-05,9.505e-05,9.505e-05
5,192.981,1.20942,1.14785,1.38804,0.76831,0.59504,0.67085,0.41717,1.39303,5.56372,1.61203,9.34e-05,9.34e-05,9.34e-05
6,229.582,1.19344,1.1262,1.37628,0.77952,0.62372,0.66984,0.42264,1.37921,6.14254,1.62469,9.175e-05,9.175e-05,9.175e-05
7,266.38,1.18083,1.08646,1.3622,0.78652,0.61492,0.6897,0.42886,1.35606,5.20935,1.59242,9.01e-05,9.01e-05,9.01e-05
8,303.438,1.17828,1.08259,1.36318,0.74424,0.64827,0.69851,0.43259,1.35146,5.52171,1.57739,8.845e-05,8.845e-05,8.845e-05
9,341.01,1.18874,1.06913,1.36299,0.7738,0.62702,0.70227,0.44194,1.35896,5.46453,1.58016,8.68e-05,8.68e-05,8.68e-05
10,378.63,1.15624,1.03584,1.35,0.7766,0.61996,0.69833,0.44694,1.36218,5.85777,1.59067,8.515e-05,8.515e-05,8.515e-05
11,416.21,1.16708,1.0485,1.35225,0.78183,0.63105,0.71778,0.45616,1.35507,5.14144,1.57947,8.35e-05,8.35e-05,8.35e-05
12,453.553,1.14995,1.03191,1.34196,0.79172,0.64315,0.72192,0.46119,1.33464,4.9791,1.56027,8.185e-05,8.185e-05,8.185e-05
13,491.099,1.13211,1.02,1.33082,0.80056,0.65222,0.71838,0.45927,1.35675,5.64504,1.57232,8.02e-05,8.02e-05,8.02e-05
14,528.146,1.13066,0.99479,1.32773,0.78363,0.66081,0.72553,0.46551,1.3303,4.83406,1.56351,7.855e-05,7.855e-05,7.855e-05
15,565.442,1.1359,1.0054,1.32847,0.78034,0.65536,0.72536,0.47001,1.33481,5.04277,1.55743,7.69e-05,7.69e-05,7.69e-05
16,602.829,1.13252,0.98374,1.32272,0.79576,0.65927,0.73833,0.47806,1.31131,4.64784,1.54279,7.525e-05,7.525e-05,7.525e-05
17,641.593,1.1052,0.97731,1.31215,0.76551,0.6744,0.73742,0.47944,1.3149,5.20466,1.54796,7.36e-05,7.36e-05,7.36e-05
18,679.41,1.10744,0.95822,1.30879,0.78337,0.65222,0.72224,0.46989,1.31217,5.07713,1.54285,7.195e-05,7.195e-05,7.195e-05
19,716.59,1.104,0.94714,1.31062,0.75277,0.68851,0.73855,0.47391,1.31311,4.70027,1.54668,7.03e-05,7.03e-05,7.03e-05
20,753.892,1.10704,0.9576,1.30953,0.80173,0.65221,0.74169,0.47999,1.31656,4.80375,1.55505,6.865e-05,6.865e-05,6.865e-05
21,791.379,1.09289,0.94418,1.30497,0.76441,0.69016,0.75257,0.48307,1.32889,4.27888,1.55992,6.7e-05,6.7e-05,6.7e-05
22,828.994,1.0962,0.94771,1.30115,0.77597,0.6634,0.73098,0.47512,1.32713,5.01952,1.5545,6.535e-05,6.535e-05,6.535e-05
23,866.326,1.07776,0.92643,1.29388,0.78685,0.65927,0.73493,0.47867,1.31078,5.69885,1.54786,6.37e-05,6.37e-05,6.37e-05
24,903.61,1.07066,0.92027,1.2912,0.78575,0.66178,0.7402,0.48387,1.31261,5.06768,1.54902,6.205e-05,6.205e-05,6.205e-05
25,941.093,1.08595,0.92803,1.29584,0.76855,0.68957,0.74477,0.48406,1.31699,5.2115,1.55075,6.04e-05,6.04e-05,6.04e-05
26,978.584,1.07826,0.93225,1.28901,0.77518,0.68851,0.74508,0.48815,1.32473,5.24177,1.55231,5.875e-05,5.875e-05,5.875e-05
27,1016.2,1.08016,0.91951,1.29263,0.75418,0.68448,0.74005,0.48543,1.30495,5.06955,1.54302,5.71e-05,5.71e-05,5.71e-05
28,1052.82,1.07962,0.90338,1.29015,0.79719,0.65778,0.74264,0.48384,1.31757,5.1933,1.54983,5.545e-05,5.545e-05,5.545e-05
29,1089.51,1.05503,0.8804,1.2785,0.78986,0.66307,0.74375,0.48881,1.29648,5.01719,1.53246,5.38e-05,5.38e-05,5.38e-05
30,1126.99,1.06495,0.90595,1.28102,0.7763,0.67166,0.73645,0.48328,1.32646,5.71513,1.55564,5.215e-05,5.215e-05,5.215e-05
31,1163.97,1.05022,0.8922,1.27502,0.77765,0.68851,0.75311,0.49465,1.28988,5.25635,1.53487,5.05e-05,5.05e-05,5.05e-05
32,1201.3,1.06556,0.88392,1.27774,0.78126,0.68448,0.74728,0.49245,1.29571,5.30075,1.5329,4.885e-05,4.885e-05,4.885e-05
33,1238.18,1.06959,0.8966,1.2764,0.76355,0.70867,0.75558,0.49634,1.28605,5.00269,1.52055,4.72e-05,4.72e-05,4.72e-05
34,1275.74,1.05508,0.87454,1.27669,0.76425,0.69153,0.74988,0.49467,1.28723,5.02214,1.5313,4.555e-05,4.555e-05,4.555e-05
35,1313.14,1.05334,0.87022,1.26397,0.78333,0.68448,0.75347,0.4985,1.29244,4.96607,1.53372,4.39e-05,4.39e-05,4.39e-05
36,1350.67,1.04478,0.86738,1.27053,0.77471,0.69329,0.75092,0.49608,1.30142,4.89059,1.54074,4.225e-05,4.225e-05,4.225e-05
37,1388.04,1.04849,0.86566,1.27083,0.79373,0.68448,0.75357,0.49583,1.30281,5.07109,1.54678,4.06e-05,4.06e-05,4.06e-05
38,1424.96,1.03248,0.8509,1.26305,0.78699,0.69273,0.753,0.49837,1.3061,5.03211,1.53869,3.895e-05,3.895e-05,3.895e-05
39,1461.85,1.04764,0.85723,1.2645,0.80205,0.67803,0.75532,0.49911,1.29244,5.26061,1.53466,3.73e-05,3.73e-05,3.73e-05
40,1499.16,1.02941,0.85786,1.2575,0.78856,0.69052,0.75777,0.49566,1.29693,4.99313,1.5338,3.565e-05,3.565e-05,3.565e-05
41,1536.41,1.04392,0.86287,1.26448,0.79549,0.6875,0.75645,0.49871,1.29174,5.53639,1.52648,3.4e-05,3.4e-05,3.4e-05
42,1573.22,1.03946,0.84738,1.25889,0.79014,0.68696,0.75525,0.49995,1.29624,4.92133,1.53074,3.235e-05,3.235e-05,3.235e-05
43,1610.55,1.02777,0.85097,1.25674,0.80002,0.67751,0.75686,0.49765,1.29077,5.07999,1.53294,3.07e-05,3.07e-05,3.07e-05
44,1647.39,1.03256,0.83644,1.25879,0.78253,0.69556,0.757,0.49902,1.29909,5.16901,1.53163,2.905e-05,2.905e-05,2.905e-05
45,1684.69,1.03505,0.84302,1.26457,0.78232,0.69923,0.75453,0.49738,1.28671,4.95825,1.52225,2.74e-05,2.74e-05,2.74e-05
46,1721.83,1.02682,0.83731,1.25435,0.7782,0.69758,0.75483,0.4974,1.31456,5.37936,1.53842,2.575e-05,2.575e-05,2.575e-05
47,1758.56,1.04162,0.85075,1.26447,0.78699,0.68548,0.75805,0.49891,1.32001,5.45796,1.54387,2.41e-05,2.41e-05,2.41e-05
48,1795.78,1.01926,0.82989,1.24787,0.76542,0.70062,0.75644,0.49834,1.30685,5.42807,1.53915,2.245e-05,2.245e-05,2.245e-05
49,1832.8,1.01831,0.83239,1.25,0.76724,0.70665,0.75873,0.50106,1.28453,5.34794,1.51732,2.08e-05,2.08e-05,2.08e-05
50,1869.88,1.0253,0.83882,1.25818,0.77633,0.69657,0.75449,0.49643,1.30038,5.1872,1.53804,1.915e-05,1.915e-05,1.915e-05
51,1908.5,1.03996,0.76989,1.3006,0.78734,0.64919,0.71904,0.47798,1.32558,5.55637,1.56174,1.75e-05,1.75e-05,1.75e-05
52,1945.72,1.02178,0.72133,1.29167,0.77035,0.66954,0.73075,0.48553,1.3323,5.71166,1.56698,1.585e-05,1.585e-05,1.585e-05
53,1982.49,1.00137,0.70554,1.2757,0.7441,0.70565,0.73737,0.49172,1.31873,5.42526,1.55415,1.42e-05,1.42e-05,1.42e-05
54,2019.62,1.00591,0.70223,1.27869,0.75424,0.70766,0.74853,0.49571,1.32067,5.30429,1.55414,1.255e-05,1.255e-05,1.255e-05
55,2056.52,1.00039,0.68874,1.26757,0.76788,0.69699,0.74955,0.49595,1.31325,5.18908,1.54715,1.09e-05,1.09e-05,1.09e-05
56,2093.75,0.99673,0.68656,1.27542,0.77699,0.69541,0.75139,0.49715,1.31002,5.21873,1.53774,9.25e-06,9.25e-06,9.25e-06
57,2130.77,0.99604,0.6899,1.26931,0.78616,0.68649,0.75247,0.49705,1.31049,5.17112,1.54089,7.6e-06,7.6e-06,7.6e-06
58,2167.94,0.99009,0.67544,1.27108,0.75516,0.70867,0.75399,0.49946,1.30245,5.19786,1.53521,5.95e-06,5.95e-06,5.95e-06
59,2204.69,0.99448,0.67914,1.27331,0.77562,0.69556,0.7533,0.49944,1.30133,5.14901,1.53199,4.3e-06,4.3e-06,4.3e-06
60,2241.95,0.98369,0.67603,1.2619,0.77115,0.70363,0.75558,0.49996,1.29796,5.20899,1.52767,2.65e-06,2.65e-06,2.65e-06
